# Task: bending1,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,47.33,0.47,28,0.82,34.25,1.3
250,47.5,0.5,29,1.22,36,0
500,47.5,0.5,30,0,36.75,0.83
750,47,0.71,28,1.22,37,1.22
1000,45,0.71,24.25,1.79,36,0
1250,41,3,22.5,1.12,36,0
1500,36.25,0.43,26.75,0.43,36,0
1750,36,0,28,0.71,36,0
2000,38.5,2.29,24,2.12,35,1.22
2250,43.75,1.3,21.25,0.43,33.75,1.3
2500,45,0,24,0,36.25,0.43
2750,46.25,0.43,26.75,0.43,37,1
3000,46.5,0.5,27,0,37,1
3250,46.5,0.5,27,0,36.75,0.83
3500,45.75,0.83,24.75,1.3,36.25,0.43
3750,43.75,1.09,23,0,36,0
4000,42,0,23.75,0.43,36,0
4250,42.33,0.47,23.5,0.87,36,0
4500,43.67,0.47,21,0,36,0
4750,44.75,0.43,22,0.71,36,0
5000,45,0,22.25,0.43,36,0
5250,45,0,22.75,0.43,36.75,0.83
5500,45.5,0.5,23.75,0.43,37,1
5750,46.5,0.5,24.25,0.43,37.25,1.3
6000,46.75,0.43,24.5,0.5,37,1
6250,46.25,0.83,24.33,0.47,36.67,0.94
6500,45.25,0.43,22.4,1.2,36.2,0.4
6750,43,1.41,21,0,34,1.41
7000,38.5,1.8,24,0,33,0
7250,36,0,27.33,1.25,34,1.41
7500,36,0,28.75,0.83,35.5,0.87
7750,39.5,2.29,25.5,1.5,36,0
8000,44,0.82,21.25,1.48,36,0
8250,45,0,21.5,1.12,36,0
8500,46.33,0.47,24,0,36.75,0.83
8750,47.5,0.5,26.5,0.5,37,1
9000,47.75,0.43,27.5,0.5,37,1
9250,47.5,0.5,27.25,0.43,37.5,1.5
9500,46.5,0.5,26,0.82,37,1.41
9750,45.75,0.83,24.25,0.43,37,1
10000,45,0,26,1.58,37.75,1.3
10250,45.25,0.43,24.75,1.92,38.5,0.5
10500,45.67,0.47,21.5,0.5,38.67,0.47
10750,45.75,0.43,22.25,0.43,38.5,0.5
11000,45.5,0.5,22.75,0.43,38.5,0.5
11250,45.5,0.5,24.25,0.43,38.5,0.5
11500,45,0,24,0,38.5,0.5
11750,45,0,24,0,38.25,0.83
12000,45,0,23.75,0.43,37.75,1.3
12250,45.25,0.43,24,0,37.5,1.5
12500,45,0,23.75,0.43,37.5,1.5
12750,45.25,0.43,23.5,0.5,37.5,1.5
13000,45,0,23.25,0.43,37.5,1.5
13250,45,0,21.67,0.47,37.67,0.94
13500,45.33,0.47,24,0,38.67,0.47
13750,45,0,23.5,0.5,38,1
14000,45,0,23.67,0.47,38,1
14250,45,0,23.5,0.5,38,1
14500,45,0,24,0,38.25,0.83
14750,45,0,20.75,2.17,38.5,0.5
15000,45,0,14.5,1.8,38.25,0.83
15250,45,0,11,0.71,38.5,0.5
15500,45,0,11.67,0.47,38.5,0.5
15750,45,0,15,2.12,38.25,0.83
16000,45,0,14.25,1.48,38.5,0.5
16250,45,0,11,0.71,37.75,1.3
16500,45,0,11.5,1.5,37.5,1.12
16750,45,0,18.25,3.7,38.33,0.94
17000,44,1.22,20.5,0.87,36.75,0.83
17250,40.75,1.09,21.33,1.25,36,0
17500,38,1.22,24,0,36,0
17750,36.33,0.47,24,0,36,0
18000,35.75,1.79,25.5,1.12,36,0
18250,36.5,0.87,24.25,0.43,34.5,1.5
18500,37,1.41,21.67,0.94,36.25,0.43
18750,42.25,0.83,20.5,0.87,36.25,0.43
19000,44.75,0.43,18.75,1.3,36,0
19250,45.5,0.5,23.5,1.5,36,0
19500,46,0.71,25,0.71,36,0
19750,45.5,0.5,23.75,0.43,37,1.22
20000,45.25,0.43,25,1.22,37.75,1.3
20250,44.75,0.43,25,1.41,37,1.41
20500,44.5,0.5,24,0,37,1
20750,44.67,0.47,24,0,37.33,0.94
21000,44.33,0.47,23.67,0.47,37.25,1.3
21250,44.75,0.43,22.5,0.5,37.75,1.3
21500,44.75,0.43,23.75,0.43,37.25,1.3
21750,44.33,0.47,24,0,37.25,1.3
22000,44.5,0.5,23,0,37.25,1.3
22250,44.5,0.5,23.75,0.43,37.25,1.3
22500,44.33,0.47,23.67,0.47,37.5,1.5
22750,44.75,0.43,22.33,0.94,37.67,0.94
23000,45,0,22.75,0.83,37,1
23250,44.25,0.83,21,0,36.25,0.43
23500,43.25,0.83,20.5,0.5,36,0
23750,43.5,0.5,20.25,0.43,36,0
24000,43.75,0.43,21,0,36,0
24250,43.5,0.5,21,0,36,0
24500,45,0,21.75,0.83,36,0
24750,45,0,25,1.22,37,0.82
25000,45.25,0.43,22,1.63,36.67,0.94
25250,45,0,21,0,37,1.41
25500,45,0,21,0,38,1
25750,45,0,22.75,1.3,38,0.71
26000,45,0,23,1.22,36,0
26250,44.5,0.87,19.75,0.83,36,0
26500,41.5,1.5,21,1.41,33.75,1.3
26750,38,1.22,23,0,32.25,0.83
27000,37,1,22.5,0.5,32,0
27250,38.5,0.5,22,0,33,0
27500,40.75,0.83,22,0,33,0
27750,42.33,0.47,21.5,0.5,35,1.41
28000,44.75,0.43,21,0,36,0
28250,45,0,23,0.82,36,0
28500,45.67,0.47,24,0,36.75,0.83
28750,47.25,0.43,24,0,37,1
29000,47.5,0.5,25,0.71,37,1
29250,46.75,0.43,24.5,0.5,36.75,0.83
29500,45.75,0.83,24,0,36.25,0.43
29750,44.5,0.87,23,1.22,36,0
30000,41.5,1.5,21,0,36,0
30250,36.5,1.5,22.25,1.3,36,0
30500,36.33,0.47,27.33,1.25,36,0
30750,36,0,25.5,2.06,36,0
31000,41,1.22,20,0.71,36,0
31250,44,0.71,20.75,0.43,36,0
31500,45,0,23.67,0.47,36.25,0.43
31750,46,0,24.25,0.43,37,1
32000,46.5,0.5,27,0,37.5,1.5
32250,47,0,26.75,0.43,37.25,1.3
32500,46.5,0.5,25,1.22,36.75,0.83
32750,45.5,0.5,23.75,0.43,36,0
33000,44,1.22,20.25,0.83,36,0
33250,40.5,1.5,20.67,0.47,36,0
33500,37,1.41,24.25,1.09,35,1.41
33750,35.25,1.3,27,0,36,0
34000,38.25,1.48,23,1.22,36,0
34250,43.5,1.12,21,0,36,0
34500,45,0,24,0,36.75,0.83
34750,46.5,0.5,25.75,1.3,36.75,0.83
35000,47.25,0.43,28,0.71,36.5,0.5
35250,47.75,0.43,29.75,0.43,36.75,0.83
35500,47.25,0.83,28.5,1.12,37,1
35750,45.75,0.83,24.5,1.5,36.25,0.43
36000,42.75,1.79,19.5,1.5,36,0
36250,37,1.73,24.33,1.25,36,0
36500,36,0,26.75,0.43,36.25,0.43
36750,40,1.63,23.5,1.5,36,0
37000,43.33,0.94,21.67,0.94,36.25,0.43
37250,45.5,0.5,24.25,0.43,36.75,0.83
37500,47.25,0.43,24,0,36.75,0.83
37750,47.5,0.5,24,0,37,1
38000,46.5,0.5,24,0,37,1
38250,46.5,0.5,24,0,37.5,1.5
38500,45.25,0.43,19.5,4.15,37.75,1.3
38750,42.5,1.5,16.75,2.17,37.75,1.3
39000,40.25,1.3,20.5,2.29,36.25,0.43
39250,37.25,1.3,24.67,0.94,35,1.41
39500,35.25,1.3,26.75,0.43,33,0
39750,37.33,1.89,25,1,33,0
40000,43.25,1.3,22.5,1.12,33,0
40250,45,0,21.75,0.83,33.75,1.3
40500,46,0.82,25,1.22,36,0
40750,46.67,0.47,27,0,36,0
41000,45.33,0.47,25.25,1.3,35,1.41
41250,43.5,1.5,21,1.87,33,0
41500,38,1.41,21,0,33,0
41750,36.5,0.87,23,1.41,32.67,0.47
42000,35.25,1.3,23.25,0.83,33,0
42250,38.5,2.29,14.5,4.77,35,1.22
42500,44,1.22,13.25,4.44,36,0
42750,45,0,19.5,1.12,36,0
43000,44.75,0.43,20,0.82,36,0
43250,45,0,21.5,1.66,36.5,0.5
43500,45,0,20.25,1.48,36,0
43750,41,2,22.5,1.5,35.25,1.3
44000,33.75,1.3,25.33,1.25,33,0
44250,38,2.83,26,1.41,35.5,1.5
44500,44,1.22,16.25,3.42,36.75,0.83
44750,45,0,24,1.87,37.5,1.5
45000,45.33,0.47,26,1.41,38,1
45250,45.5,0.5,26.75,0.43,37.75,1.3
45500,45.5,0.5,28.25,0.83,37.75,1.3
45750,45,0,27.5,0.87,38,1
46000,45,0,27,0,37.75,1.3
46250,45,0,26.5,0.5,38,1
46500,45,0,26.25,1.3,37.75,0.83
